pathway	pval	padj	log2err	ES	NES	size	leadingEdge	dataset_id	direction
HALLMARK_E2F_TARGETS	8.48947957111195e-07	4.24473978555597e-05	0.659444398037935	0.316849974797471	1.97478973245062	199	HMGA1|LUC7L3|DCK|TUBB|SRSF2|SYNCRIP|PLK4|SPAG5|RAD21|HMMR|WDR90|CDK1|TMPO|PCNA|WEE1|RAD51AP1|ZW10|MSH2|GSPT1|CHEK1|DEPDC1|CDKN2A|GINS1|DLGAP5|TRA2B|KPNA2|MAD2L1|RAN|ORC2|H2AX|HUS1|E2F8|KIF18B|XPO1|HELLS|RANBP1|ILF3|BUB1B|CDKN1A|MCM4|ASF1A|SRSF1|SSRP1|POLE4|TFRC|LIG1|BIRC5|UBE2S|TRIP13|JPT1|NUDT21|TOP2A|MTHFD2|DEK|RAD50|POLD1|TBRG4|EED|ANP32E|SMC6|USP1|PNN|TP53|CDC25A|UNG|IPO7|HMGB2|CDKN1B|RAD1|TIMELESS|RFC2|MRE11|CCNB2|GINS3|EZH2|MCM5|DUT|DCLRE1B|CHEK2|RACGAP1|PSMC3IP|SPC25|PMS2|PAICS|TK1|BARD1|MCM2|STMN1|ESPL1|CCNE1|MYBL2|DDX39A|UBR7	GSE23597	up_in_responders
HALLMARK_MTORC1_SIGNALING	2.5808587163566e-06	5.63631014259744e-05	0.627256739718528	0.309112157292898	1.93111115542644	200	CALR|TES|PSMC4|INSIG1|LDLR|UCHL5|DHFR|CTH|SRD5A1|ACSL3|SQSTM1|GBE1|HMGCS1|NHERF1|STARD4|SERP1|TXNRD1|SQLE|CD9|GCLC|IFRD1|GPI|RDH11|UFM1|ME1|PSMC6|G6PD|SORD|SCD|UBE2D3|TRIB3|GSR|CDKN1A|SC5D|MCM4|ALDOA|LGMN|STIP1|CTSC|TFRC|TPI1|PSME3|SSR1|PPA1|PSMC2|ADD3|SLC7A11|PSMD12|ERO1A|SLC37A4|ATP2A2|CACYBP|DHCR7|MTHFD2|CCNG1|HPRT1|IDI1|CYP51A1|ETF1|SLC1A5|NMT1|PFKL|GGA2|NFYC|BUB1|GMPS|PSMD14|DHCR24|CYB5B|CDC25A|UNG|PSMA3|SLC2A1|ELOVL6|FGL2|PSPH|IDH1|HMGCR|PRDX1|PSMB5|TOMM40|M6PR|HK2|EGLN3|PPIA|TMEM97|PHGDH|RPN1|ITGB2|RAB1A|EBP|CCT6A|ASNS|PDAP1|PSMD13|MCM2|PLOD2|DDIT3|HSPA9|ARPC5L|TM7SF2|ENO1|DDX39A|TBK1|GLRX|YKT6|BHLHE40|SHMT2|RPA1|COPS5	GSE23597	up_in_responders
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.38178608555846e-06	5.63631014259744e-05	0.627256739718528	-0.352269104041259	-1.8836346666866	200	CXCL12|MATN3|TGM2|SPP1|SGCB|ITGB1|CALD1|MSX1|CDH6|LOXL2|LAMA3|VEGFC|SLIT3|DCN|CAP2|SPARC|THY1|SLC6A8|FBLN1|ACTA2|FERMT2|GADD45B|FBN1|SERPINE1|MGP|SFRP1|COPA|NNMT|VIM|DST|RHOB|ITGB3|SERPINH1|ITGA5|MAGEE1|SLIT2|FBLN2|COL12A1|ABI3BP|CD44|NTM|TIMP3|COL4A2|INHBA|SNAI2|CALU|ANPEP|PMP22|LGALS1|GLIPR1|SGCD|ADAM12|COL4A1|HTRA1|FSTL1|DPYSL3|COL5A2|LRRC15|APLP1|MATN2|JUN|COL1A2|FAP|SPOCK1|CDH11|FBN2|EFEMP2|MYLK|NOTCH2|PDLIM4|FLNA|TNC|COL5A1|ITGB5|PRRX1|IL6|LAMC1|ECM2|COL7A1|THBS2|CCN1|FMOD|TGFBI|EMP3|VEGFA|CTHRC1|TNFRSF11B|COL6A2|CXCL8|TGFB1	GSE23597	up_in_nonresponders
HALLMARK_G2M_CHECKPOINT	7.11729673826066e-06	8.89662092282582e-05	0.610526878385931	0.299651887072137	1.87201016918037	200	CDC27|NUP50|MTF2|HMGA1|CUL4A|SRSF10|SMAD3|CUL5|SRSF2|E2F2|SYNCRIP|PLK4|FANCC|RAD21|HMMR|CDK1|TMPO|AMD1|RAD54L|FOXN3|SQLE|GSPT1|DR1|CHEK1|EGF|KNL1|PRP4K|BCL3|TRA2B|KPNA2|ARID4A|KIF5B|MAD2L1|H2AX|KIF20B|HUS1|RBM14|DTYMK|XPO1|FBXO5|TTK|NEK2|SLC12A2|PRMT5|PRC1|ILF3|CDC45|TOP1|WRN|SRSF1|RPS6KA5|BIRC5|UBE2C|TPX2|H2BC12|CASP8AP2|UBE2S|JPT1|SS18|CHMP1A|TOP2A|RBL1|E2F4|PAFAH1B1|SMC2|CENPF	GSE23597	up_in_responders
HALLMARK_DNA_REPAIR	0.000110278723884611	0.00110278723884611	0.538434096309916	0.29529562343795	1.73939102129598	150	NT5C|ADRM1|NT5C3A|NCBP2|GTF2H3|RAD52|TAF13|RAD51|POLD4|NFX1|VPS37B|CSTF3|PCNA|TAF10|POLR2A|POLR3C|AAAS|DCTN4|DGCR8|POLR1H|TMED2|NELFCD|RFC5|TAF6|SNAPC4|ARL6IP1|RALA|POLR1D|UPF3B|ZWINT|POLR2K|TAF9|TAF1C|ERCC1|SSRP1|POLE4|LIG1|FEN1|CDA|NUDT21|POLD1|HPRT1|AK1|POLR1C|NELFB|AK3|TP53|GTF2A2|RFC2|DUT|TARBP2|NME3|POLR2H|TSG101	GSE23597	up_in_responders
HALLMARK_PROTEIN_SECRETION	0.000500276462384056	0.00357340330274326	0.477270815362862	0.322751176244749	1.72788882940194	96	VPS4B|AP1G1|SEC22B|SEC24D|ARFGEF2|CLCN3|TMX1|SGMS1|YIPF6|ZW10|STAM|GBF1|VAMP7|STX16|CLTA|MAPK1|TMED2|BET1|AP3B1|GOLGA4|TPD52|GOSR2|COPE|CTSC|DOP1A|SSPN|SNAP23|STX12|LMAN1|RAB14|COPB1|ARFIP1|SNX2|OCRL|RER1|ANP32E|RAB5A|RAB22A|SCAMP1|TMED10|NAPA	GSE23597	up_in_responders
HALLMARK_INFLAMMATORY_RESPONSE	0.000442273810250426	0.00357340330274326	0.49849310876659	-0.304897810519484	-1.63033339882137	200	PSEN1|ITGB8|CCL7|NAMPT|ROS1|PTPRE|SEMA4D|TACR3|FPR1|SLC7A2|PDPN|CSF3R|TACR1|CD82|RNF144B|SERPINE1|PDE4B|OSM|FFAR2|PIK3R5|LAMP3|ITGB3|ITGA5|MSR1|SLC1A2|TNFAIP6|NLRP3|IL1B|SLC11A2|ICOSLG|SLAMF1|BTG2|INHBA|IFNAR1|LCP2|GABBR1|TLR2|KIF1B|SLC31A1|LYN|RGS16|C3AR1|CCL22|BST2|IL7R|SELE|CD70|LPAR1|RAF1|IL10|BEST1|TLR1|NFKBIA|C5AR1|CALCRL|OLR1|KCNJ2|KCNA3|HBEGF|ACVR1B|SCN1B|SCARF1|P2RX7|NDP|IL6|AQP9|GP1BA|IL1A|DCBLD2|IFITM1|KCNMB2|CSF3|EMP3|CCL2|IL12B|SLC31A2|CXCL8|EBI3|IL18R1|SLC28A2|SLC7A1|IL18RAP|CYBB|EDN1|GNAI3|CD14	GSE23597	up_in_nonresponders
HALLMARK_MYC_TARGETS_V1	0.000655291704249538	0.00409557315155962	0.477270815362862	0.258019801490788	1.61192274462258	200	RNPS1|PSMC4|CBX3|SRSF2|SYNCRIP|NCBP2|UBA2|RUVBL2|HNRNPR|PRDX3|PCNA|MRPL9|GSPT1|HNRNPA2B1|YWHAE|EIF4G2|IFRD1|HDGF|TRA2B|KPNA2|DDX18|MAD2L1|RAN|EIF4E|PSMC6|ORC2|TARDBP|XPO1|HNRNPA3|HDAC2|EIF3J|RANBP1|FAM120A|CDC45|VDAC1|MCM4|SRSF1|SNRPA1|DHX15|SLC25A3|ERH|UBE2E1|PSMA1|TCP1|VBP1|PCBP1|LSM2|DEK|PPM1G|HPRT1|GOT2|ABCE1|ETF1|ILF2|CSTF2|UBE2L3|USP1|PSMA2|TRIM28|PSMD14|TOMM70|XPOT|YWHAQ|RAD23B|RPS2|PSMD1|MCM5|DUT|SNRPA|PSMB2|SF3B3|PTGES3|POLE3|CYC1|CCNA2|PPIA	GSE23597	up_in_responders
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00140530472036529	0.00713218561087648	0.45505986738723	0.331457552582116	1.68340428789222	74	PNRC1|PLSCR1|LDLR|FASN|SREBF2|CTNNB1|CPEB2|HMGCS1|STARD4|SQLE|CD9|ECH1|ATF3|SCD|TRIB3|PPARG|SC5D|LGMN|PLAUR|NSDHL|PCYT2|ERRFI1|DHCR7|JAG1|IDI1|CYP51A1	GSE23597	up_in_responders
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00156908083439283	0.00713218561087648	0.45505986738723	0.296242752900598	1.64479995527233	113	CALR|SLC30A5|SKIC3|PAIP1|YWHAZ|EXOSC4|EXOSC2|DNAJA4|CHAC1|IGFBP1|SERP1|KHSRP|DCP1A|ATF3|NFYA|KIF5B|EIF4E|EIF4A2|H2AX|PDIA6|SHC1|CEBPG|BAG3|NFYB|GOSR2|CNOT6|MTREX|SSR1|LSM4|TUBB2A|ERO1A|MTHFD2|GEMIN4|EIF4A3|DKC1|SPCS3|EIF4G1|RPS14|XPOT|EIF2AK3|SDAD1|CXXC1|ARFGAP1|SPCS1|DDX10|EXOC2|ASNS|ALDH18A1|EIF4A1|HSPA9|HYOU1|PREB	GSE23597	up_in_responders
