pathway	GSE12251_NES	GSE12251_pval	GSE12251_padj	GSE12251_direction	GSE16879_NES	GSE16879_pval	GSE16879_padj	GSE16879_direction	GSE23597_NES	GSE23597_pval	GSE23597_padj	GSE23597_direction	nominal_p_lt_0_05_cohorts	max_same_direction_cohorts
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-3.79352404266015	8.90195099062739e-50	4.45097549531369e-48	Enriched in nonresponders	-3.7196513635682	6.18834944830631e-40	3.09417472415316e-38	Enriched in nonresponders	-2.97792131976237	2.76008218472583e-22	3.45010273090729e-21	Enriched in nonresponders	3	3
HALLMARK_INFLAMMATORY_RESPONSE	-3.64683824971768	4.37465837054778e-44	1.09366459263694e-42	Enriched in nonresponders	-3.48261221233263	6.14613795479121e-33	1.02435632579854e-31	Enriched in nonresponders	-2.99828714736501	1.12573461570573e-22	1.87622435950955e-21	Enriched in nonresponders	3	3
HALLMARK_INTERFERON_GAMMA_RESPONSE	-3.41455935183252	1.21823428608527e-35	1.52279285760658e-34	Enriched in nonresponders	-3.37833929961143	3.64508177145343e-30	4.55635221431679e-29	Enriched in nonresponders	-3.13556582387011	7.31955297910598e-26	3.65977648955299e-24	Enriched in nonresponders	3	3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.24631095649765	1.06960391589777e-32	8.91336596581472e-32	Enriched in responders	1.57834022724751	0.00158291061458233	0.00344111003170071	Enriched in responders	3.14709110660921	2.89822739655418e-25	7.24556849138546e-24	Enriched in responders	3	3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.87025687855138	3.72683911674783e-21	2.32927444796739e-20	Enriched in nonresponders	-3.63557723020218	1.46018512621407e-37	3.65046281553517e-36	Enriched in nonresponders	-2.25319601856169	5.38509898143174e-10	2.24379124226323e-09	Enriched in nonresponders	3	3
HALLMARK_ALLOGRAFT_REJECTION	-2.67850225279396	1.8651775183216e-17	1.03620973240089e-16	Enriched in nonresponders	-3.30851607696719	2.28562238934211e-28	2.28562238934211e-27	Enriched in nonresponders	-2.65886867886877	5.50545786194338e-16	4.58788155161949e-15	Enriched in nonresponders	3	3
HALLMARK_COMPLEMENT	-2.62597332329065	1.91370182639573e-16	9.56850913197865e-16	Enriched in nonresponders	-2.49723328467302	4.0236405980171e-13	2.51477537376069e-12	Enriched in nonresponders	-1.96210383490318	4.05118915458953e-07	1.26599661080923e-06	Enriched in nonresponders	3	3
HALLMARK_INTERFERON_ALPHA_RESPONSE	-2.84895870089188	2.43970600941209e-15	1.10895727700549e-14	Enriched in nonresponders	-2.61907259731132	1.37782426480897e-10	6.88912132404484e-10	Enriched in nonresponders	-2.63676156200476	3.56814141960281e-11	1.7840707098014e-10	Enriched in nonresponders	3	3
HALLMARK_IL6_JAK_STAT3_SIGNALING	-2.91376409959639	9.32320896791166e-15	3.88467040329653e-14	Enriched in nonresponders	-3.03828948125505	3.31628073040554e-15	2.36877195028967e-14	Enriched in nonresponders	-2.17366691161196	1.50081951457058e-06	4.41417504285466e-06	Enriched in nonresponders	3	3
HALLMARK_KRAS_SIGNALING_UP	-2.40256486520991	1.14836978582584e-12	4.41680686856093e-12	Enriched in nonresponders	-2.6542739628689	1.34194034324072e-15	1.11828361936726e-14	Enriched in nonresponders	-1.64276851970282	0.000285718988625138	0.000621128236141604	Enriched in nonresponders	3	3
HALLMARK_APOPTOSIS	-2.40372487974402	3.24691997644243e-11	1.15961427730087e-10	Enriched in nonresponders	-2.04972093907204	1.44065232148295e-06	5.04457295585121e-06	Enriched in nonresponders	-1.60989285666355	0.00158326367841877	0.00304473784311302	Enriched in nonresponders	3	3
HALLMARK_IL2_STAT5_SIGNALING	-2.21029171915596	4.14572073410727e-10	1.29553772940852e-09	Enriched in nonresponders	-2.343584855755	1.03609268922925e-10	5.75607049571804e-10	Enriched in nonresponders	-1.78709732734083	5.18532014330326e-05	0.000117848185075074	Enriched in nonresponders	3	3
HALLMARK_HYPOXIA	-1.97174509688543	2.74503878145633e-07	6.86259695364082e-07	Enriched in nonresponders	-1.93295524397971	1.56515313938888e-06	5.04457295585121e-06	Enriched in nonresponders	-1.43887610884188	0.00963683499347183	0.0150575546772997	Enriched in nonresponders	3	3
HALLMARK_ANGIOGENESIS	-2.36049272770199	2.41438905690939e-06	5.7485453735938e-06	Enriched in nonresponders	-2.17718085044996	0.000183728859892073	0.000417565590663803	Enriched in nonresponders	-1.55733663678861	0.016669048676224	0.0238129266803199	Enriched in nonresponders	3	3
HALLMARK_FATTY_ACID_METABOLISM	1.98840310912403	3.17519111404855e-06	7.21634344101943e-06	Enriched in responders	1.96979932877912	1.61426334587239e-06	5.04457295585121e-06	Enriched in responders	2.35980063579041	4.3183191684395e-10	1.96287234929068e-09	Enriched in responders	3	3
HALLMARK_UV_RESPONSE_DN	-1.67022487676764	0.000467969745878	0.00089027823548107	Enriched in nonresponders	-2.15756546897898	4.74999203719191e-07	1.82692001430458e-06	Enriched in nonresponders	-1.36566619372473	0.0290192791491979	0.0392152420935107	Enriched in nonresponders	3	3
HALLMARK_APICAL_JUNCTION	-1.60695672730779	0.000480750247159778	0.00089027823548107	Enriched in nonresponders	-1.73869182213437	6.68630375118038e-05	0.00016715759377951	Enriched in nonresponders	-1.34864034959068	0.0287270961763377	0.0392152420935107	Enriched in nonresponders	3	3
HALLMARK_PEROXISOME	1.66546194618115	0.00186397833512241	0.00310663055853734	Enriched in responders	1.5189407130369	0.0116608321781715	0.0215941336632806	Enriched in responders	2.03087060932586	9.07391702292341e-06	2.26847925573085e-05	Enriched in responders	3	3
HALLMARK_E2F_TARGETS	3.5282536587977	2.42150498290201e-42	4.03584163817001e-41	Enriched in responders	-1.88334171930875	1.01355477329077e-05	2.66724940339676e-05	Enriched in nonresponders	2.94073775210227	9.35959442648179e-21	9.35959442648179e-20	Enriched in responders	3	2
HALLMARK_MYC_TARGETS_V1	3.31403302717938	2.43623369883531e-34	2.43623369883531e-33	Enriched in responders	-2.16816985312102	4.98859939301619e-09	2.26754517864372e-08	Enriched in nonresponders	2.66216669508315	2.16389216131955e-15	1.35243260082472e-14	Enriched in responders	3	2
HALLMARK_G2M_CHECKPOINT	2.87046361345161	4.41335192227931e-22	3.15239423019951e-21	Enriched in responders	-1.67394164263084	0.000176002368046676	0.000417565590663803	Enriched in nonresponders	2.67564873302426	1.38644623203607e-15	9.90318737168618e-15	Enriched in responders	3	2
HALLMARK_MTORC1_SIGNALING	1.77486336460957	1.82589392518274e-05	3.80394567746404e-05	Enriched in responders	-1.85410492350562	7.70397491162771e-06	2.1399930310077e-05	Enriched in nonresponders	2.0446545403607	1.62683666640898e-07	5.81013095146066e-07	Enriched in responders	3	2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.58983845524828	0.00378852441338719	0.00597501059162191	Enriched in responders	-2.32687710812818	1.76151387704168e-08	7.33964115434034e-08	Enriched in nonresponders	1.54240716398082	0.0102754625758554	0.01556888269069	Enriched in responders	3	2
HALLMARK_ANDROGEN_RESPONSE	1.54781495655036	0.0072741865881658	0.0103916951259511	Enriched in responders	-1.5271901545828	0.0102840285203243	0.0197769779237005	Enriched in nonresponders	1.57180904616607	0.00688933412825862	0.0111118292391268	Enriched in responders	3	2
HALLMARK_COAGULATION	-2.41963040531531	8.10953492528454e-11	2.70317830842818e-10	Enriched in nonresponders	-2.03878327433623	3.60500080793467e-06	1.0602943552749e-05	Enriched in nonresponders	-1.23762249893329	0.102803738317757	0.12576921349324	Enriched in nonresponders	2	3
HALLMARK_ADIPOGENESIS	2.09248759402477	8.32546993829669e-09	2.31263053841575e-08	Enriched in responders	1.19110271738975	0.123893805309735	0.176991150442478	Enriched in responders	2.15620575106492	1.30255933868603e-08	5.00984361033088e-08	Enriched in responders	2	3
HALLMARK_GLYCOLYSIS	1.69294269004481	8.9451994204042e-05	0.000178903988408084	Enriched in responders	1.12670907661724	0.216814159292035	0.276548672566372	Enriched in responders	2.55183482302946	1.26224283882605e-13	7.01246021570026e-13	Enriched in responders	2	3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.73349020542012	0.00131602821220687	0.00226901415897736	Enriched in responders	1.15340512890184	0.23785594639866	0.290068227315439	Enriched in responders	1.63869416573959	0.00374673598495593	0.00645988962923437	Enriched in responders	2	3
HALLMARK_MYOGENESIS	-1.47307585754274	0.00382400677863802	0.00597501059162191	Enriched in nonresponders	-1.31717680878084	0.0339387626452069	0.0606049332950123	Enriched in nonresponders	-0.984094364942511	0.498214285714286	0.541537267080745	Enriched in nonresponders	2	3
HALLMARK_ESTROGEN_RESPONSE_LATE	1.30213034515113	0.0361168137844284	0.0475221234005636	Enriched in responders	1.05944305998881	0.339233038348083	0.403848855176289	Enriched in responders	1.85615763568594	6.65985450731221e-06	1.75259329139795e-05	Enriched in responders	2	3
HALLMARK_BILE_ACID_METABOLISM	1.19630782587679	0.151162790697674	0.179955703211517	Enriched in responders	1.69031094520588	0.00195434191320949	0.00407154565251976	Enriched in responders	1.49026502172579	0.0164244550042038	0.0238129266803199	Enriched in responders	2	3
HALLMARK_DNA_REPAIR	2.3305373710293	6.50875585753366e-10	1.91433995809814e-09	Enriched in responders	-0.710894027302376	0.988980716253444	0.991477272727273	Enriched in nonresponders	1.91800082801233	9.74720973559358e-06	2.32076422276038e-05	Enriched in responders	2	2
HALLMARK_MYC_TARGETS_V2	2.51307031486905	1.57758603136364e-08	4.15154218779904e-08	Enriched in responders	-1.33427136405127	0.0862068965517241	0.130616509926855	Enriched in nonresponders	1.86910231499844	0.000491979035203532	0.000983958070407064	Enriched in responders	2	2
HALLMARK_MITOTIC_SPINDLE	1.55821861589161	0.000838256644969115	0.00149688686601628	Enriched in responders	-1.18208340138539	0.102803738317757	0.151181968114349	Enriched in nonresponders	1.90696774033276	4.61378685785476e-06	1.28160746051521e-05	Enriched in responders	2	2
HALLMARK_ESTROGEN_RESPONSE_EARLY	-1.45697689379736	0.00465929143238683	0.00705953247331338	Enriched in nonresponders	1.29883800226436	0.051622418879056	0.0832619659339614	Enriched in responders	1.51395248940714	0.0030224667341267	0.00539726202522625	Enriched in responders	2	2
HALLMARK_SPERMATOGENESIS	1.5181106920519	0.00523552928337505	0.0076993077696692	Enriched in responders	-0.684150175046367	0.991477272727273	0.991477272727273	Enriched in nonresponders	1.72239119221958	0.000325971116186351	0.000679106492054897	Enriched in responders	2	2
HALLMARK_HEME_METABOLISM	-1.41190164899545	0.00904445003588357	0.0125617361609494	Enriched in nonresponders	1.3196723242028	0.0398230088495575	0.0663716814159292	Enriched in responders	1.03435821395447	0.364253393665158	0.413924310983135	Enriched in responders	2	2
HALLMARK_UV_RESPONSE_UP	-1.40838463184009	0.0123275068415239	0.0166587930290863	Enriched in nonresponders	-1.5804868908691	0.0026290607805922	0.0052581215611844	Enriched in nonresponders	0.995050894468889	0.467849223946785	0.519832471051983	Enriched in responders	2	2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-1.16987015820613	0.172268907563025	0.19140989729225	Enriched in nonresponders	-1.33839186261202	0.038677949856918	0.0663716814159292	Enriched in nonresponders	1.59294987043893	0.00545328540171823	0.00908880900286371	Enriched in responders	2	2
